id,kr,en
1,인공호흡기를 적용한 코로나바이러스감염증-19 환자 간호,Caring for the Ventilated COVID-19 Patient with COVID-19
2,세균성 뇌수막염 환자를 위한 항생제 투여,Administering Antibiotics for a Patient with Bacterial Meningitis
3,복부 자상으로 내출혈이 발생한 환자 간호,Caring for a patient with internal bleeding from an abdominal stab wound
4,만성 신부전 환자의 혈액투석 절차,Hemodialysis Procedures for Patients with Chronic Renal Failure
5,급성 심근경색 발생 시 초기 응급 처치,Initial First Aid for Acute Myocardial Infarction
6,고혈압 위기 환자의 긴급 관리,Emergency Management of a Patient in Hypertensive Crisis
7,급성 췌장염 환자의 영양 관리와 간호,Nutritional Management and Care of the Patient with Acute Pancreatitis
8,임신성 고혈압 환자의 산전 간호,Prenatal Care of Patients with Gestational Hypertension
9,중증 화상 환자의 통증 관리 및 간호,Pain Management and Nursing Care of the Severely Burned Patient
10,소아 환자에서의 천식 발작 관리,Managing Asthma Attacks in Pediatric Patients
11,노인성 치매 환자의 일상 생활 지원,Assisting a patient with senile dementia with activities of daily living
12,척수 손상 환자의 재활 운동 계획,Planning rehabilitation exercises for a spinal cord injury patient
13,대퇴골 골절 후 수술 환자 간호,Caring for a surgical patient after a femur fracture
14,간암 환자를 위한 종양학적 간호 접근,Oncologic nursing approaches for patients with liver cancer
15,심부정맥 혈전증(DVT) 예방을 위한 간호 중재,Nursing interventions to prevent deep vein thrombosis (DVT)
16,소화성 궤양 환자의 식이 관리,Dietary management of patients with peptic ulcers
17,뇌졸중 후 재활을 위한 언어 치료,Speech therapy for post-stroke rehabilitation
18,골다공증 환자의 낙상 예방 전략,Fall prevention strategies for patients with osteoporosis
19,급성 신장 손상 환자의 체액 관리,Fluid management in patients with acute kidney injury
20,알츠하이머 질환 환자의 인지 간호 전략,Cognitive Nursing Strategies for Patients with Alzheimer's Disease
21,루게릭 병 환자의 호흡 지원 간호,Respiratory Support Nursing Care for Patients with Lou Gehrig's Disease
22,갑상선 기능항진증 환자의 대사 관리,Metabolic management of patients with hyperthyroidism
23,비만 환자의 체중 관리 간호 계획,Weight Management Nursing Plan for the Obese Patient
24,폐렴 환자의 호흡기 간호 및 지원,Respiratory Care and Support for Patients with Pneumonia
25,급성 충수염 환자의 수술 전후 간호,Perioperative Nursing Care of Patients with Acute Appendicitis
26,척추 골절 환자의 이동 지원 간호,Mobility Support Nursing Care for Patients with Spinal Fractures
27,심장 판막 질환 환자의 간호 관리,Nursing Care of Patients with Heart Valve Disease
28,당뇨병 환자의 발 관리 및 교육,Foot Care and Education for Patients with Diabetes
29,HIV/AIDS 환자의 감염 관리 간호,Infection control nursing care for HIV/AIDS patients
30,소아 암 환자의 정서적 지원 간호,Emotional support care for pediatric cancer patients
31,만성 폐쇄성 폐질환(COPD) 환자의 산소 치료,Oxygen Therapy for Patients with Chronic Obstructive Pulmonary Disease (COPD)
32,간경변 환자의 복수 관리 간호,Managing Ascites in Patients with Cirrhosis
33,자가면역 질환 환자의 면역 강화 간호,Immune boosting care for patients with autoimmune diseases
34,유방암 수술 후 재활 운동 간호,Provide rehabilitative exercise after breast cancer surgery
35,뇌출혈 환자의 혈압 조절 간호,Controlling blood pressure in patients with cerebral hemorrhage
36,전립선 비대증 환자의 배뇨 관리,Managing urination in a patient with an enlarged prostate
37,소아 당뇨병 환자의 혈당 조절 교육,Educate Pediatric Diabetes Patients on Blood Sugar Control
38,요실금 환자의 생활습관 개선 간호,Lifestyle improvement care for patients with urinary incontinence
39,스트레스 관련 위장 장애 환자의 심리적 지원,Psychological support for patients with stress-related gastrointestinal disorders
40,임신 중독증 환자의 긴급 처치 및 간호,Emergency treatment and care for patients with pregnancy toxicosis
41,빈혈 환자의 영양 보충 간호,Supplemental nutrition care for anemia patients
42,골수염 환자의 항생제 치료 관리,Managing antibiotic therapy for patients with osteomyelitis
43,피부 궤양 환자의 상처 관리 간호,Wound care for patients with skin ulcers
44,저체온증 환자의 체온 조절 간호,Thermoregulation care for hypothermia patients
45,중증 근무력증 환자의 근력 강화 간호,Strengthening muscle strength in patients with myasthenia gravis
46,비브리오 감염 환자의 조기 진단 및 치료,Early diagnosis and treatment of patients with vibrio infection
47,임신 중 당뇨병 관리를 위한 간호 중재,Nursing Interventions for the Management of Diabetes During Pregnancy
48,출혈성 뇌졸중 환자의 항응고 치료 간호,Anticoagulation therapy nursing care for hemorrhagic stroke patients
49,만성 심장 질환 환자의 생활습관 교육,Provide lifestyle education for patients with chronic heart disease
50,정신분열증 환자의 사회적 기능 향상 간호,Improving social functioning in patients with schizophrenia
51,심방세동 환자의 항응고 치료 간호,Anticoagulation Therapy Care for Patients with Atrial Fibrillation
52,골절 환자의 통증 관리 및 회복 지원,Pain management and recovery support for fracture patients
53,임신 중 갑상선 질환 관리 간호,Nursing care for thyroid disease management during pregnancy
54,소아기 뇌성마비 환자의 운동 재활,Motor rehabilitation for patients with childhood cerebral palsy
55,급성 림프구성 백혈병 환자의 감염 예방,Preventing infections in patients with acute lymphocytic leukemia
56,수면 무호흡증 환자의 생활습관 개선,Improving the lifestyle of patients with sleep apnea
57,고지혈증 환자의 식이 조절 및 간호 교육,Dietary control and nursing education for patients with hyperlipidemia
58,퇴행성 관절염 환자의 일상 활동 지원,Supporting daily activities in patients with degenerative arthritis
59,급성 신우신염 환자의 항생제 치료 간호,Antibiotic therapy nursing care for patients with acute pyelonephritis
60,중증 괴사성 담낭염 환자의 수술 전후 간호,Pre- and post-operative care for patients with severe necrotizing cholecystitis
61,류마티스 관절염 환자의 염증 관리,Managing inflammation in patients with rheumatoid arthritis
62,폐색전증 환자의 응급 치료 및 간호,Emergency treatment and care of patients with pulmonary embolism
63,산후 우울증 환자의 정서적 지원,Emotional support for patients with postpartum depression
64,노인 환자의 다발성 골절 관리,Managing Multiple Fractures in the Elderly Patient
65,소아 환자의 불안 완화 전략,Anxiety reduction strategies for pediatric patients
66,만성 콩팥병 환자의 식이요법 및 관리,Diet and management of patients with chronic kidney disease
67,알코올 의존증 환자의 회복 지원,Recovery support for patients with alcohol dependence
68,천식 환자의 호흡 운동 및 관리,Breathing Exercises and Management of Asthma Patients
69,뇌동맥류 수술 환자의 회복 간호,Recovery care for brain aneurysm surgery patients
70,소아 비만 관리 및 생활습관 개선 교육,Pediatric obesity management and lifestyle education
71,말기 신장 질환 환자의 삶의 질 향상,Improving quality of life for patients with end-stage renal disease
72,피부암 환자의 수술 후 관리,Post-operative care for skin cancer patients
73,고령 환자의 폴리파마시 관리,Managing polypharmacy in elderly patients
74,급성 간염 환자의 간 기능 회복 지원,Helping patients with acute hepatitis recover liver function
75,소아 급성 중이염의 항생제 치료,Antibiotic treatment of pediatric acute otitis media
76,척추압박골절 환자의 통증 관리,Managing pain in patients with vertebral compression fractures
77,불안 장애 환자의 인지행동치료 지원,Supporting cognitive behavioral therapy for patients with anxiety disorders
78,임신 중 철결핍성 빈혈의 간호 관리,Nursing management of iron deficiency anemia during pregnancy
79,만성 피로 증후군 환자의 에너지 관리,Managing energy in patients with chronic fatigue syndrome
80,간성 뇌병증 환자의 의식 상태 모니터링,Monitoring consciousness in patients with hepatic encephalopathy
81,소아 화상 환자의 상처 관리 및 예방 교육,Teaching wound care and prevention in pediatric burn patients
82,신생아 황달의 광선 치료 간호,Nursing care of phototherapy for neonatal jaundice
83,욕창 예방 및 관리를 위한 간호 접근법,Nursing Approaches to Preventing and Managing Pressure Ulcers
84,노인성 건망증 환자의 기억력 지원,Memory support for patients with senile forgetfulness
85,대상포진 후 신경통의 통증 관리,Managing pain in postherpetic neuralgia
86,급성 충수돌기염의 수술적 간호 관리,Surgical nursing management of acute appendicitis
87,자가 면역 질환의 생활 관리 교육,Teaching Life Management of Autoimmune Diseases
88,담석증 환자의 증상 완화 및 간호,Relieving Symptoms and Caring for Patients with Cholelithiasis
89,뇌진탕 후 증후군 환자의 회복 지원,Supporting the recovery of patients with post-concussion syndrome
90,만성 간질환 환자의 영양 관리,Nutritional management of patients with chronic liver disease
91,소아기 척추측만증의 재활 운동 간호,Rehabilitative exercise nursing care for childhood scoliosis
92,골다공증 환자의 칼슘 보충 및 생활습관 교육,Calcium supplementation and lifestyle education for patients with osteoporosis
93,급성 호흡기 감염증의 간호 및 예방,Nursing care and prevention of acute respiratory infections
94,소아 빈혈의 철분 보충 치료 간호,Nursing care for iron supplementation treatment of pediatric anemia
95,임신 중 유산 위험의 관리 및 지원,Management and support of miscarriage risk during pregnancy
96,급성 식도염 환자의 식사 조절,Dietary control in patients with acute esophagitis
97,뇌수막염 후유증 관리 및 재활,Management and rehabilitation of sequelae of meningitis
98,갑작스러운 시력 손실의 응급 간호,Emergency Nursing Care of Sudden Vision Loss
99,만성 림프성 백혈병 환자의 생활 지원,Supporting the life of a patient with chronic lymphocytic leukemia
100,노인 환자의 식도역류질환 관리,Managing esophageal reflux disease in elderly patients
